2019-02-05 16:43:55.46: CAMERA_FEEDBACK {time_usec : 315965720489000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.45000004768, alt_rel : -2.45000004768, roll : 0.379999995232, pitch : 0.25, yaw : 21.7899990082, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:43:57.74: CAMERA_FEEDBACK {time_usec : 315965722782000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.51999998093, alt_rel : -2.51999998093, roll : 0.379999995232, pitch : 0.25, yaw : 21.7899990082, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:44:00.09: CAMERA_FEEDBACK {time_usec : 315965725145000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.50999999046, alt_rel : -2.50999999046, roll : 0.379999995232, pitch : 0.229999989271, yaw : 21.7999992371, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:44:02.36: CAMERA_FEEDBACK {time_usec : 315965727403000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.55999994278, alt_rel : -2.55999994278, roll : 0.379999995232, pitch : 0.239999994636, yaw : 21.8099994659, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:44:04.61: CAMERA_FEEDBACK {time_usec : 315965729644000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.56999993324, alt_rel : -2.56999993324, roll : 0.370000004768, pitch : 0.239999994636, yaw : 21.8199996948, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:44:06.90: CAMERA_FEEDBACK {time_usec : 315965731946000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.62999987602, alt_rel : -2.62999987602, roll : 0.379999995232, pitch : 0.219999998808, yaw : 21.7999992371, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:44:09.17: CAMERA_FEEDBACK {time_usec : 315965734207000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.69000005722, alt_rel : -2.69000005722, roll : 0.379999995232, pitch : 0.219999998808, yaw : 21.8099994659, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:44:11.42: CAMERA_FEEDBACK {time_usec : 315965736463000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.70000004768, alt_rel : -2.70000004768, roll : 0.370000004768, pitch : 0.209999993443, yaw : 21.7799987793, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:44:13.75: CAMERA_FEEDBACK {time_usec : 315965738808000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.73000001907, alt_rel : -2.73000001907, roll : 0.34999999404, pitch : 0.199999988079, yaw : 21.7799987793, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:44:16.02: CAMERA_FEEDBACK {time_usec : 315965741064000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.80999994278, alt_rel : -2.80999994278, roll : 0.340000003576, pitch : 0.179999992251, yaw : 21.75, foc_len : 0.0, flags : 0, completed_captures : 0}
2019-02-05 16:44:18.34: CAMERA_FEEDBACK {time_usec : 315965743387000, target_system : 0, cam_idx : 0, img_idx : 2, lat : 0, lng : 0, alt_msl : -2.89999985695, alt_rel : -2.89999985695, roll : 0.359999984503, pitch : 0.209999993443, yaw : 21.75, foc_len : 0.0, flags : 0, completed_captures : 0}
